Promoter,Positive,Set,Coordinate,TF_AGI,TF_Name,Family,Alias,Promoter_AGI,Pathway
CCP134,LacZ,SET0,1A11,AT2G04880,ZAP1,WRKY,CCP134,AT2G43090,
CCP134,LacZ,SET0,7A2,AT1G76880,AT1G76880,TRIHELIX,CCP134,AT2G43090,
CCP134,LacZ,SET0,7B1,AT3G49930,AT3G49930,C2H2,CCP134,AT2G43090,
CCP134,LacZ,SET0,8F1,AT4G37260,MYB73,MYB,CCP134,AT2G43090,
CCP134,His3,SET0,1A1,AT5G13790,AGL15,MADS,CCP134,AT2G43090,
CCP134,Both,SET0,23G12,AT5G06070,RAB/RBE,C2H2,CCP134,AT2G43090,
CCP134,LacZ,SET0,14B1,AT3G11100,AT3G11100,TRIHELIX,CCP134,AT2G43090,
CCP134,LacZ,SET0,18A12,AT1G05230,HDG2,HB,CCP134,AT2G43090,
CCP134,LacZ,SET0,22C1,AT4G38910,ATBPC5BBR/BPC5,BBR/BPC,CCP134,AT2G43090,
CCP134,His3,SET0,14B11,AT2G35430,AT2G35430,C3H,CCP134,AT2G43090,
CCP134,His3,SET0,16C1,AT3G27810,ATMYB21/ATMYB3,MYB,CCP134,AT2G43090,
CCP134,His3,SET0,17G11,AT5G38490,AT5G38490,REM(B3),CCP134,AT2G43090,
CCP134,His3,SET0,21G12,AT1G32240,KAN2,G2-LIKE,CCP134,AT2G43090,
CCP139,LacZ,SET0,7A2,AT1G76880,AT1G76880,TRIHELIX,CCP139,AT3G55650,
CCP139,LacZ,SET0,8F1,AT4G37260,MYB73,MYB,CCP139,AT3G55650,
CCP139,LacZ,SET0,10C12,AT2G31230,ATERF15,AP2-EREBP,CCP139,AT3G55650,
CCP139,LacZ,SET0,10C12,AT2G31230,ATERF15,ERF,CCP139,AT3G55650,
CCP139,His3,SET0,1A1,AT5G13790,AGL15,MADS,CCP139,AT3G55650,
CCP139,Both,SET0,14B1,AT3G11100,AT3G11100,TRIHELIX,CCP139,AT3G55650,
CCP139,LacZ,SET0,18A12,AT1G05230,HDG2,HB,CCP139,AT3G55650,
CCP139,LacZ,SET0,19G1,AT5G42780,AtHB27/ZHD13,ZF-HD,CCP139,AT3G55650,
CCP139,LacZ,SET0,19G11,AT2G06200,AtGRF6,GRF,CCP139,AT3G55650,
CCP139,LacZ,SET0,20A1,AT3G13350,AT3G13350,ARID,CCP139,AT3G55650,
CCP139,LacZ,SET0,22C1,AT4G38910,ATBPC5BBR/BPC5,BBR/BPC,CCP139,AT3G55650,
CCP139,His3,SET0,14A1,AT1G66370,AtMYB113,MYB,CCP139,AT3G55650,
CCP139,His3,SET0,15G11,AT1G19180,AtJAZ1/TIFY10A,ZIM,CCP139,AT3G55650,
CCP139,His3,SET0,16A12,AT5G66770,AT5G66770,GRAS,CCP139,AT3G55650,
CCP139,His3,SET0,23G1,AT4G06746,DEAR5/RAP2.9,AP2-EREBP,CCP139,AT3G55650,
CCP139,His3,SET0,23G11,AT3G62260,AT3G62260,DBP,CCP139,AT3G55650,
CCP139,His3,SET0,24B11,AT1G19040,AT1G19040,NAC,CCP139,AT3G55650,
CCP140,LacZ,SET0,3B12,AT5G18270,ANAC087,NAC,CCP140,AT5G56350,
CCP140,LacZ,SET0,9D2,AT4G29080,PAP2,AUX/IAA,CCP140,AT5G56350,
CCP140,LacZ,SET0,7A2,AT1G76880,AT1G76880,TRIHELIX,CCP140,AT5G56350,
CCP140,LacZ,SET0,7A11,AT1G20910,AT1G20910,ARID,CCP140,AT5G56350,
CCP140,LacZ,SET0,8F1,AT4G37260,MYB73,MYB,CCP140,AT5G56350,
CCP140,Both,SET0,22C1,AT4G38910,ATBPC5BBR/BPC5,BBR/BPC,CCP140,AT5G56350,
CCP140,LacZ,SET0,14B1,AT3G11100,AT3G11100,TRIHELIX,CCP140,AT5G56350,
CCP140,LacZ,SET0,20A11,AT5G05090,AT5G05090,G2-LIKE,CCP140,AT5G56350,
CCP140,LacZ,SET0,19F12,AT5G45420,maMYB,MYB,CCP140,AT5G56350,
CCP140,LacZ,SET0,16C1,AT3G27810,ATMYB21/ATMYB3,MYB,CCP140,AT5G56350,
CCP140,His3,SET0,14B11,AT2G35430,AT2G35430,C3H,CCP140,AT5G56350,
CCP140,His3,SET0,15G12,AT4G27230,HTA2,CCAAT,CCP140,AT5G56350,
CCP140,His3,SET0,16A1,AT3G13960,AtGRF5,GRF,CCP140,AT5G56350,
CCP140,His3,SET0,17G11,AT5G38490,AT5G38490,REM(B3),CCP140,AT5G56350,
CCP140,His3,SET0,16A12,AT5G66770,AT5G66770,GRAS,CCP140,AT5G56350,
CCP144,LacZ,SET0,1A1,AT5G13790,AGL15,MADS,CCP144,AT3G55810,
CCP144,LacZ,SET0,3B11,AT3G23240,ERF1,AP2-EREBP,CCP144,AT3G55810,
CCP144,LacZ,SET0,3B11,AT3G23240,ERF1,ERF,CCP144,AT3G55810,
CCP144,LacZ,SET0,9D2,AT4G29080,PAP2,AUX/IAA,CCP144,AT3G55810,
CCP144,LacZ,SET0,7A11,AT1G20910,AT1G20910,ARID,CCP144,AT3G55810,
CCP144,LacZ,SET0,4H2,AT3G50260,CEJ1,AP2-EREBP,CCP144,AT3G55810,
CCP144,LacZ,SET0,4H2,AT3G50260,CEJ1,ERF,CCP144,AT3G55810,
CCP144,LacZ,SET0,8G12,AT5G39760,AtHB23,ZF-HD,CCP144,AT3G55810,
CCP144,LacZ,SET0,14B1,AT3G11100,AT3G11100,TRIHELIX,CCP144,AT3G55810,
CCP144,LacZ,SET0,14C1,AT5G16800,AT5G16800,GNAT,CCP144,AT3G55810,
CCP144,LacZ,SET0,19F12,AT5G45420,maMYB,MYB,CCP144,AT3G55810,
CCP144,LacZ,SET0,18C1,AT3G10390,FLD,SWI/SNF-SWI3,CCP144,AT3G55810,
CCP144,LacZ,SET0,18A12,AT1G05230,HDG2,HB,CCP144,AT3G55810,
CCP144,LacZ,SET0,19G1,AT5G42780,AtHB27/ZHD13,ZF-HD,CCP144,AT3G55810,
CCP144,LacZ,SET0,19G11,AT2G06200,AtGRF6,GRF,CCP144,AT3G55810,
CCP144,LacZ,SET0,19H1,AT1G27370,SPL10,SBP,CCP144,AT3G55810,
CCP144,LacZ,SET0,20A1,AT3G13350,AT3G13350,ARID,CCP144,AT3G55810,
CCP144,LacZ,SET0,20A11,AT5G05090,AT5G05090,G2-LIKE,CCP144,AT3G55810,
CCP144,LacZ,SET0,24B1,AT3G59470,AT3G59470,FAR1,CCP144,AT3G55810,
CCP144,His3,SET0,17G11,AT5G38490,AT5G38490,REM(B3),CCP144,AT3G55810,
CCP144,His3,SET0,23H1,AT4G18890,BEH3,BES1,CCP144,AT3G55810,
CCP160,LacZ,SET0,7A2,AT1G76880,AT1G76880,TRIHELIX,CCP160,AT4G26530,
CCP160,LacZ,SET0,14B1,AT3G11100,AT3G11100,TRIHELIX,CCP160,AT4G26530,
CCP160,His3,SET0,15G12,AT4G27230,HTA2,CCAAT,CCP160,AT4G26530,
CCP160,His3,SET0,17G11,AT5G38490,AT5G38490,REM(B3),CCP160,AT4G26530,
