Experiment,Image,Block,PlatePosition,Plate,Condition,Level,Position,Alias,AGI,Gene_Name,Seed_stock,Name,Hypocotyl,Hypocotyl_ratio,Root,Root_ratio,RSratio,Total,bulk,PlateLvl,Allele
1,8987,Block6,Pos1,C1-1,Negative,A,1,0,Col-0,Col-0,Col-0,Col-0,17.481,0.861345159,2.814,0.138654841,0.160974773,20.295,a,1_C1-1_A,Col-0
1,8987,Block6,Pos1,C1-1,Negative,B,1,6,AT2G01930,atbpc1/bbr,SALK_072966,bpc1-1,12.08,0.862241256,1.93,0.137758744,0.159768212,14.01,a,1_C1-1_B,bpc1-1
1,8987,Block6,Pos1,C1-1,Negative,C,1,38,AT4G32890,gata9,SALK_080142C,gata9-2,17.691,0.873069141,2.572,0.126930859,0.145384659,20.263,a,1_C1-1_C,gata9-2
1,8987,Block6,Pos1,C1-1,Negative,A,2,8,AT2G02090,cha19/etl1,SALK_069014,cha19-2,14.695,0.869938432,2.197,0.130061568,0.149506635,16.892,a,1_C1-1_A,cha19-2
1,8987,Block6,Pos1,C1-1,Negative,B,2,0-2,Col-0,Col-0,Col-0,Col-0(2),12.016,0.842518581,2.246,0.157481419,0.186917443,14.262,b,1_C1-1_B,Col-0
1,8987,Block6,Pos1,C1-1,Negative,C,2,15,AT2G21240,atbpc4/bbr,SALK_014313,atbpc4,18.939,0.85735627,3.151,0.14264373,0.166376261,22.09,a,1_C1-1_C,atbpc4
1,8987,Block6,Pos1,C1-1,Negative,A,3,42,AT3G23590,med5a,med5a,med5a,17.472,0.834902279,3.455,0.165097721,0.197744963,20.927,a,1_C1-1_A,med5a
1,8987,Block6,Pos1,C1-1,Negative,B,3,35,AT4G00238,atstkl1,SALK_083259,atstkl1-1,17.044,0.82786089,3.544,0.17213911,0.20793241,20.588,a,1_C1-1_B,atstkl1-1
1,8987,Block6,Pos1,C1-1,Negative,C,3,19,AT2G48100,AT2G48100,SALK_009105,at2g48100-1,18.868,0.842735272,3.521,0.157264728,0.186612254,22.389,a,1_C1-1_C,at2g48100-1
1,8987,Block6,Pos1,C1-1,Negative,A,4,28,AT3G44750,hd2a,CS348580,hd2a-1,16.01,0.858399013,2.641,0.141600987,0.1649594,18.651,a,1_C1-1_A,hd2a-1
1,8987,Block6,Pos1,C1-1,Negative,B,4,2,AT1G16060,wri3,SALK_144578,wri3,16.652,0.840034304,3.171,0.159965696,0.190427576,19.823,a,1_C1-1_B,wri3
1,8987,Block6,Pos1,C1-1,Negative,C,4,30,AT3G53680,at3g53680,SALK_117411,at3g53680-1,16.065,0.839912166,3.062,0.160087834,0.190600685,19.127,a,1_C1-1_C,at3g53680-1
1,8987,Block6,Pos1,C1-1,Negative,A,5,0-2,Col-0,Col-0,Col-0,Col-0(2),20.834,0.810157101,4.882,0.189842899,0.234328501,25.716,b,1_C1-1_A,Col-0
1,8987,Block6,Pos1,C1-1,Negative,B,5,16,AT2G36930,at2g36930,SALK_209159C,at2g36930,20.397,0.853216766,3.509,0.146783234,0.172035103,23.906,a,1_C1-1_B,at2g36930
1,8987,Block6,Pos1,C1-1,Negative,C,5,0,Col-0,Col-0,Col-0,Col-0,16.083,0.849873177,2.841,0.150126823,0.176646148,18.924,a,1_C1-1_C,Col-0
1,8987,Block6,Pos1,C1-1,Negative,A,6,21,AT3G10580,at3g10580,SALK_000108,at3g10580-1,18.3,0.823656495,3.918,0.176343505,0.214098361,22.218,a,1_C1-1_A,at3g10580-1
1,8987,Block6,Pos1,C1-1,Negative,B,6,0,Col-0,Col-0,Col-0,Col-0,6.988,0.843961353,1.292,0.156038647,0.18488838,8.28,a,1_C1-1_B,Col-0
1,8987,Block6,Pos1,C1-1,Negative,C,6,27,AT3G28920,athb34,SALK 147851,athb34-3,14.537,0.855620954,2.453,0.144379046,0.168741831,16.99,a,1_C1-1_C,athb34-3
1,8987,Block6,Pos1,C1-1,Negative,A,7,31,AT3G53680,at3g53680,CS2103378,at3g53680-2,12.891,0.806998873,3.083,0.193001127,0.239159103,15.974,a,1_C1-1_A,at3g53680-2
1,8987,Block6,Pos1,C1-1,Negative,B,7,14,AT2G21060,atcsp4/atgrp2b,CS877428,atcsp4-3,16.184,0.85408201,2.765,0.14591799,0.170847751,18.949,a,1_C1-1_B,atcsp4-3
