Experiment,Shelf,Flat,FlatCondition,plant_id,Geno_alias,Germination,Bolting,Flowering,days_bolt,days_flowering,bolt_to_flower,day_07,day_09,day_11,day_13,day_15,day_17,day_19,day_21,growthslope,l_day_07,l_day_09,l_day_11,l_day_13,l_day_15,l_day_17,l_day_19,l_day_21,AGI,Gene_Name,Seed_stock,Name
1,1,1,50 mM NaCl,1X2,7,2/20/18,3/19/18,3/23/18,27,31,4,10.908,14.382,21.503,27.485,40.989,64.307,105.626,155.427,0.191979077,2.389496465,2.665977425,3.06819246,3.313640401,3.713303738,4.16366849,4.659904553,5.046176168,AT2G01930,atbpc1/bbr,SALK_101466,bpc1-2
1,1,1,50 mM NaCl,1X3,29,2/20/18,3/21/18,3/24/18,29,32,3,10.028,15.786,26.824,35.378,45.728,78.159,117.007,174.618,0.199291986,2.30538118,2.759123471,3.289297009,3.566090158,3.822710802,4.358745213,4.762233762,5.162600731,AT3G44750,hd2a,CS877918 ,hd2a-2
1,1,1,50 mM NaCl,1X4,28,2/20/18,3/21/18,3/25/18,29,33,4,11.031,17.761,27.259,38.712,57.791,76.687,125.612,180.13,0.195449273,2.400709491,2.877005042,3.305383742,3.656149629,4.056833054,4.339732202,4.833197791,5.193678812,AT3G44750,hd2a,CS348580,hd2a-1
1,1,1,50 mM NaCl,1X5,37,2/20/18,3/25/18,3/28/18,33,36,3,7.987,12.082,11.76,18.522,18.882,34.227,55.297,85.621,0.163297616,2.07781522,2.491716742,2.464703942,2.918959215,2.938209087,3.533014806,4.012718658,4.44993058,AT4G00238,atstkl1,SALK_068662,atstkl1-3
1,1,1,50 mM NaCl,1X6,35,2/20/18,3/21/18,3/25/18,29,33,4,9.9665,18.193,26.002,40.777,59.188,90.449,119.082,163.522,0.196966323,2.299229469,2.901036905,3.258173458,3.708118197,4.080718819,4.504786156,4.779812331,5.096947538,AT4G00238,atstkl1,SALK_083259,atstkl1-1
1,1,1,50 mM NaCl,1Y1,14,2/20/18,3/17/18,3/21/18,25,29,4,14.901,19.366,33.558,41.939,46.783,112.386,175.825,239.375,0.203579574,2.701428325,2.963518951,3.513275285,3.736216182,3.845519889,4.721939375,5.169489182,5.47803136,AT2G21060,atcsp4/atgrp2b,CS877428,atcsp4-3
1,1,1,50 mM NaCl,1Y2,0,2/20/18,3/22/18,3/26/18,30,34,4,13.036,18.841,27.073,33.787,55.801,90.539,130.711,182.251,0.192094672,2.567714761,2.936035346,3.298536921,3.520076113,4.02179179,4.505780697,4.872988779,5.205384858,Col-0,Col-0,Col-0,Col-0
1,1,1,50 mM NaCl,1Y3,6,2/20/18,3/26/18,3/31/18,34,39,5,9.922,14.659,16.492,20.251,34.185,58.779,79.256,119.817,0.179838876,2.294754514,2.685054481,2.802875415,3.008204175,3.531786951,4.073784648,4.37268312,4.785965579,AT2G01930,atbpc1/bbr,SALK_072966,bpc1-1
1,1,1,50 mM NaCl,1Y4,22,2/20/18,3/19/18,3/22/18,27,30,3,10.327,13.548,13.327,23.264,32.55,50.932,78.146,113.916,0.178122408,2.334761825,2.606238935,2.589792053,3.146907101,3.482777369,3.93049141,4.358578872,4.735461335,AT3G10580,at3g10580,SALK_020321,at3g10580-2
1,1,1,50 mM NaCl,1Y5,0,2/20/18,3/25/18,3/29/18,33,37,4,15.798,15.57,21.813,37.504,39.726,57.917,86.576,113.685,0.151073172,2.75988335,2.745345986,3.082506122,3.624447594,3.682005885,4.059010951,4.461022641,4.733431466,Col-0,Col-0,Col-0,Col-0
