"","tffam","enzloc","adj.p"
"1","ABI3VP1","ACO_cytosol",1
"2","Alfin-like","ACO_cytosol",1
"3","AP2-EREBP","ACO_cytosol",1
"4","ARF","ACO_cytosol",1
"5","ARID","ACO_cytosol",1
"6","ARR-B","ACO_cytosol",1
"7","BBR/BPC","ACO_cytosol",1
"8","bHLH","ACO_cytosol",1
"9","bZIP","ACO_cytosol",1
"10","BZR","ACO_cytosol",1
"11","C2C2-CO-like","ACO_cytosol",1
"12","C2C2-Dof","ACO_cytosol",1
"13","C2C2-Gata","ACO_cytosol",1
"14","C2C2-YABBY","ACO_cytosol",1
"15","C2H2","ACO_cytosol",1
"16","C3H","ACO_cytosol",1
"17","CAMTA","ACO_cytosol",1
"18","CCAAT-DR1","ACO_cytosol",1
"19","CCAAT-HAP2","ACO_cytosol",1
"20","CCAAT-HAP3","ACO_cytosol",1
"21","CCAAT-HAP5","ACO_cytosol",1
"22","CPP","ACO_cytosol",1
"23","E2F-DP","ACO_cytosol",1
"24","EIL","ACO_cytosol",1
"25","G2-like","ACO_cytosol",1
"26","GeBP","ACO_cytosol",1
"27","GRAS","ACO_cytosol",1
"28","GRF","ACO_cytosol",1
"29","Homeobox","ACO_cytosol",1
"30","HSF","ACO_cytosol",1
"31","LBD","ACO_cytosol",1
"32","MADS","ACO_cytosol",1
"33","MYB","ACO_cytosol",1
"34","MYB-related","ACO_cytosol",1
"35","NAC","ACO_cytosol",1
"36","NLP","ACO_cytosol",1
"37","PHD","ACO_cytosol",1
"38","RAV","ACO_cytosol",1
"39","REM","ACO_cytosol",1
"40","SBP","ACO_cytosol",1
"41","TCP","ACO_cytosol",1
"42","Trihelix","ACO_cytosol",1
"43","TUB","ACO_cytosol",1
"44","VOZ","ACO_cytosol",1
"45","Whirly","ACO_cytosol",1
"46","WRKY","ACO_cytosol",1
"47","ZF-HD","ACO_cytosol",1
"48","ZIM","ACO_cytosol",1
"49","ABI3VP1","ACO_mitochondrion",1
"50","Alfin-like","ACO_mitochondrion",1
"51","AP2-EREBP","ACO_mitochondrion",1
"52","ARF","ACO_mitochondrion",1
"53","ARID","ACO_mitochondrion",1
"54","ARR-B","ACO_mitochondrion",1
"55","BBR/BPC","ACO_mitochondrion",1
"56","bHLH","ACO_mitochondrion",1
"57","bZIP","ACO_mitochondrion",1
"58","BZR","ACO_mitochondrion",1
"59","C2C2-CO-like","ACO_mitochondrion",1
"60","C2C2-Dof","ACO_mitochondrion",1
"61","C2C2-Gata","ACO_mitochondrion",0.399287286847254
"62","C2C2-YABBY","ACO_mitochondrion",1
"63","C2H2","ACO_mitochondrion",1
"64","C3H","ACO_mitochondrion",1
"65","CAMTA","ACO_mitochondrion",1
"66","CCAAT-DR1","ACO_mitochondrion",1
"67","CCAAT-HAP2","ACO_mitochondrion",1
"68","CCAAT-HAP3","ACO_mitochondrion",1
"69","CCAAT-HAP5","ACO_mitochondrion",1
"70","CPP","ACO_mitochondrion",1
"71","E2F-DP","ACO_mitochondrion",1
"72","EIL","ACO_mitochondrion",1
"73","G2-like","ACO_mitochondrion",1
"74","GeBP","ACO_mitochondrion",1
"75","GRAS","ACO_mitochondrion",1
"76","GRF","ACO_mitochondrion",1
"77","Homeobox","ACO_mitochondrion",1
"78","HSF","ACO_mitochondrion",1
"79","LBD","ACO_mitochondrion",1
"80","MADS","ACO_mitochondrion",1
"81","MYB","ACO_mitochondrion",1
"82","MYB-related","ACO_mitochondrion",1
"83","NAC","ACO_mitochondrion",1
"84","NLP","ACO_mitochondrion",1
"85","PHD","ACO_mitochondrion",1
"86","RAV","ACO_mitochondrion",1
"87","REM","ACO_mitochondrion",1
"88","SBP","ACO_mitochondrion",1
"89","TCP","ACO_mitochondrion",1
"90","Trihelix","ACO_mitochondrion",1
"91","TUB","ACO_mitochondrion",1
"92","VOZ","ACO_mitochondrion",1
"93","Whirly","ACO_mitochondrion",1
"94","WRKY","ACO_mitochondrion",1
"95","ZF-HD","ACO_mitochondrion",1
"96","ZIM","ACO_mitochondrion",1
"97","ABI3VP1","CSY_mitochondrion",1
"98","Alfin-like","CSY_mitochondrion",1
"99","AP2-EREBP","CSY_mitochondrion",1
"100","ARF","CSY_mitochondrion",1
"101","ARID","CSY_mitochondrion",0.454270903887704
"102","ARR-B","CSY_mitochondrion",1
"103","BBR/BPC","CSY_mitochondrion",1
"104","bHLH","CSY_mitochondrion",1
"105","bZIP","CSY_mitochondrion",1
"106","BZR","CSY_mitochondrion",1
"107","C2C2-CO-like","CSY_mitochondrion",1
"108","C2C2-Dof","CSY_mitochondrion",1
"109","C2C2-Gata","CSY_mitochondrion",1
"110","C2C2-YABBY","CSY_mitochondrion",1
"111","C2H2","CSY_mitochondrion",1
"112","C3H","CSY_mitochondrion",1
"113","CAMTA","CSY_mitochondrion",1
"114","CCAAT-DR1","CSY_mitochondrion",1
"115","CCAAT-HAP2","CSY_mitochondrion",1
"116","CCAAT-HAP3","CSY_mitochondrion",1
"117","CCAAT-HAP5","CSY_mitochondrion",1
"118","CPP","CSY_mitochondrion",1
"119","E2F-DP","CSY_mitochondrion",1
"120","EIL","CSY_mitochondrion",1
"121","G2-like","CSY_mitochondrion",1
"122","GeBP","CSY_mitochondrion",0.120951065810131
"123","GRAS","CSY_mitochondrion",1
"124","GRF","CSY_mitochondrion",1
"125","Homeobox","CSY_mitochondrion",1
"126","HSF","CSY_mitochondrion",1
"127","LBD","CSY_mitochondrion",0.535131405149505
"128","MADS","CSY_mitochondrion",1
"129","MYB","CSY_mitochondrion",0.900905768000842
"130","MYB-related","CSY_mitochondrion",1
"131","NAC","CSY_mitochondrion",1
"132","NLP","CSY_mitochondrion",1
"133","PHD","CSY_mitochondrion",1
"134","RAV","CSY_mitochondrion",1
"135","REM","CSY_mitochondrion",1
"136","SBP","CSY_mitochondrion",1
"137","TCP","CSY_mitochondrion",1
"138","Trihelix","CSY_mitochondrion",0.00897354312122501
"139","TUB","CSY_mitochondrion",1
"140","VOZ","CSY_mitochondrion",1
"141","Whirly","CSY_mitochondrion",1
"142","WRKY","CSY_mitochondrion",1
"143","ZF-HD","CSY_mitochondrion",1
"144","ZIM","CSY_mitochondrion",1
"145","ABI3VP1","CSY_peroxisome",1
"146","Alfin-like","CSY_peroxisome",1
"147","AP2-EREBP","CSY_peroxisome",1
"148","ARF","CSY_peroxisome",1
"149","ARID","CSY_peroxisome",1
"150","ARR-B","CSY_peroxisome",1
"151","BBR/BPC","CSY_peroxisome",1
"152","bHLH","CSY_peroxisome",1
"153","bZIP","CSY_peroxisome",0.449470540369573
"154","BZR","CSY_peroxisome",1
"155","C2C2-CO-like","CSY_peroxisome",1
"156","C2C2-Dof","CSY_peroxisome",1
"157","C2C2-Gata","CSY_peroxisome",1
"158","C2C2-YABBY","CSY_peroxisome",1
"159","C2H2","CSY_peroxisome",1
"160","C3H","CSY_peroxisome",1
"161","CAMTA","CSY_peroxisome",1
"162","CCAAT-DR1","CSY_peroxisome",1
"163","CCAAT-HAP2","CSY_peroxisome",1
"164","CCAAT-HAP3","CSY_peroxisome",1
"165","CCAAT-HAP5","CSY_peroxisome",1
"166","CPP","CSY_peroxisome",1
"167","E2F-DP","CSY_peroxisome",1
"168","EIL","CSY_peroxisome",1
"169","G2-like","CSY_peroxisome",1
"170","GeBP","CSY_peroxisome",0.0580995370133302
"171","GRAS","CSY_peroxisome",1
"172","GRF","CSY_peroxisome",1
"173","Homeobox","CSY_peroxisome",1
"174","HSF","CSY_peroxisome",1
"175","LBD","CSY_peroxisome",0.29163529584642
"176","MADS","CSY_peroxisome",1
"177","MYB","CSY_peroxisome",1
"178","MYB-related","CSY_peroxisome",1
"179","NAC","CSY_peroxisome",1
"180","NLP","CSY_peroxisome",1
"181","PHD","CSY_peroxisome",1
"182","RAV","CSY_peroxisome",1
"183","REM","CSY_peroxisome",1
"184","SBP","CSY_peroxisome",1
"185","TCP","CSY_peroxisome",0.00259343669767666
"186","Trihelix","CSY_peroxisome",0.245905773826103
"187","TUB","CSY_peroxisome",1
"188","VOZ","CSY_peroxisome",1
"189","Whirly","CSY_peroxisome",1
"190","WRKY","CSY_peroxisome",1
"191","ZF-HD","CSY_peroxisome",1
"192","ZIM","CSY_peroxisome",1
"193","ABI3VP1","FUM_cytosol",1
"194","Alfin-like","FUM_cytosol",1
"195","AP2-EREBP","FUM_cytosol",1
"196","ARF","FUM_cytosol",1
"197","ARID","FUM_cytosol",1
"198","ARR-B","FUM_cytosol",1
"199","BBR/BPC","FUM_cytosol",1
"200","bHLH","FUM_cytosol",1
"201","bZIP","FUM_cytosol",1
"202","BZR","FUM_cytosol",1
"203","C2C2-CO-like","FUM_cytosol",1
"204","C2C2-Dof","FUM_cytosol",1
"205","C2C2-Gata","FUM_cytosol",1
"206","C2C2-YABBY","FUM_cytosol",1
"207","C2H2","FUM_cytosol",1
"208","C3H","FUM_cytosol",0.468495416822508
"209","CAMTA","FUM_cytosol",1
"210","CCAAT-DR1","FUM_cytosol",1
"211","CCAAT-HAP2","FUM_cytosol",1
"212","CCAAT-HAP3","FUM_cytosol",1
"213","CCAAT-HAP5","FUM_cytosol",1
"214","CPP","FUM_cytosol",1
"215","E2F-DP","FUM_cytosol",1
"216","EIL","FUM_cytosol",1
"217","G2-like","FUM_cytosol",1
"218","GeBP","FUM_cytosol",1
"219","GRAS","FUM_cytosol",1
"220","GRF","FUM_cytosol",1
"221","Homeobox","FUM_cytosol",1
"222","HSF","FUM_cytosol",1
"223","LBD","FUM_cytosol",0.142055666337999
"224","MADS","FUM_cytosol",1
"225","MYB","FUM_cytosol",1
"226","MYB-related","FUM_cytosol",1
"227","NAC","FUM_cytosol",1
"228","NLP","FUM_cytosol",1
"229","PHD","FUM_cytosol",1
"230","RAV","FUM_cytosol",1
"231","REM","FUM_cytosol",1
"232","SBP","FUM_cytosol",1
"233","TCP","FUM_cytosol",1
"234","Trihelix","FUM_cytosol",1
"235","TUB","FUM_cytosol",1
"236","VOZ","FUM_cytosol",1
"237","Whirly","FUM_cytosol",1
"238","WRKY","FUM_cytosol",1
"239","ZF-HD","FUM_cytosol",1
"240","ZIM","FUM_cytosol",1
"241","ABI3VP1","FUM_mitochondrion",1
"242","Alfin-like","FUM_mitochondrion",1
"243","AP2-EREBP","FUM_mitochondrion",1
"244","ARF","FUM_mitochondrion",1
"245","ARID","FUM_mitochondrion",1
"246","ARR-B","FUM_mitochondrion",1
"247","BBR/BPC","FUM_mitochondrion",1
"248","bHLH","FUM_mitochondrion",1
"249","bZIP","FUM_mitochondrion",1
