"","tffam","enzloc","pval"
"1","bHLH","ACO_cytosol",0.859326165783759
"2","MYB","ACO_cytosol",0.383382796132608
"3","E2F-DP","ACO_cytosol",1
"4","AP2-EREBP","ACO_cytosol",0.962379254972428
"5","Trihelix","ACO_cytosol",1
"6","ARID","ACO_cytosol",0.343535004452437
"7","C2H2","ACO_cytosol",0.533637384833969
"8","GeBP","ACO_cytosol",0.676474856657384
"9","NAC","ACO_cytosol",0.48105498477125
"10","C2C2-Gata","ACO_cytosol",1
"11","bZIP","ACO_cytosol",0.684227340912745
"12","EIL","ACO_cytosol",0.295698429664778
"13","LBD","ACO_cytosol",0.29499396201303
"14","MADS","ACO_cytosol",0.254206899904719
"15","TCP","ACO_cytosol",1
"16","SBP","ACO_cytosol",1
"17","G2-like","ACO_cytosol",0.830001927848976
"18","C3H","ACO_cytosol",0.445039915013854
"19","CPP","ACO_cytosol",1
"20","GRF","ACO_cytosol",1
"21","REM","ACO_cytosol",1
"22","Homeobox","ACO_cytosol",0.615051099405218
"23","PHD","ACO_cytosol",0.0675675675675675
"24","C2C2-Dof","ACO_cytosol",0.80376035451372
"25","WRKY","ACO_cytosol",0.48105498477125
"26","CCAAT-DR1","ACO_cytosol",1
"27","ARF","ACO_cytosol",0.53870564187739
"28","RAV","ACO_cytosol",1
"29","NLP","ACO_cytosol",1
"30","ARR-B","ACO_cytosol",1
"31","ZF-HD","ACO_cytosol",1
"32","Whirly","ACO_cytosol",1
"33","BBR/BPC","ACO_cytosol",0.343535004452437
"34","MYB-related","ACO_cytosol",0.114199323401457
"35","GRAS","ACO_cytosol",0.570234698952016
"36","BZR","ACO_cytosol",0.295698429664778
"37","Alfin-like","ACO_cytosol",1
"38","HSF","ACO_cytosol",0.343535004452437
"39","CAMTA","ACO_cytosol",1
"40","VOZ","ACO_cytosol",1
"41","CCAAT-HAP3","ACO_cytosol",1
"42","CCAAT-HAP5","ACO_cytosol",0.388169130718746
"43","C2C2-CO-like","ACO_cytosol",0.0246937732753147
"44","C2C2-YABBY","ACO_cytosol",1
"45","ABI3VP1","ACO_cytosol",1
"46","CCAAT-HAP2","ACO_cytosol",1
"47","TUB","ACO_cytosol",0.0675675675675675
"48","ZIM","ACO_cytosol",1
"49","bHLH","ACO_mitochondrion",0.798894705521843
"50","MYB","ACO_mitochondrion",0.929730043299745
"51","E2F-DP","ACO_mitochondrion",0.395600996017229
"52","AP2-EREBP","ACO_mitochondrion",0.995670485871093
"53","Trihelix","ACO_mitochondrion",0.78530625337739
"54","ARID","ACO_mitochondrion",0.780004750746161
"55","C2H2","ACO_mitochondrion",0.208766311062778
"56","GeBP","ACO_mitochondrion",0.272235519738607
"57","NAC","ACO_mitochondrion",0.949736169490347
"58","C2C2-Gata","ACO_mitochondrion",0.00831848514265113
"59","bZIP","ACO_mitochondrion",0.80425705971302
"60","EIL","ACO_mitochondrion",0.309122938258575
"61","LBD","ACO_mitochondrion",0.122124209908862
"62","MADS","ACO_mitochondrion",0.10060210164894
"63","TCP","ACO_mitochondrion",0.89723209650072
"64","SBP","ACO_mitochondrion",0.867512729813091
"65","G2-like","ACO_mitochondrion",0.998307039362494
"66","C3H","ACO_mitochondrion",0.198281751969351
"67","CPP","ACO_mitochondrion",1
"68","GRF","ACO_mitochondrion",0.635137692862026
"69","REM","ACO_mitochondrion",0.829250549219301
"70","Homeobox","ACO_mitochondrion",0.995416767086122
"71","PHD","ACO_mitochondrion",0.222453222453223
"72","C2C2-Dof","ACO_mitochondrion",0.997159212695325
"73","WRKY","ACO_mitochondrion",0.777254825068255
"74","CCAAT-DR1","ACO_mitochondrion",1
"75","ARF","ACO_mitochondrion",0.741171812276787
"76","RAV","ACO_mitochondrion",0.689539565399343
"77","NLP","ACO_mitochondrion",1
"78","ARR-B","ACO_mitochondrion",0.780004750746161
"79","ZF-HD","ACO_mitochondrion",0.96290890727988
"80","Whirly","ACO_mitochondrion",1
"81","BBR/BPC","ACO_mitochondrion",0.780004750746161
"82","MYB-related","ACO_mitochondrion",0.90168995690973
"83","GRAS","ACO_mitochondrion",0.78530625337739
"84","BZR","ACO_mitochondrion",0.716641381512888
"85","Alfin-like","ACO_mitochondrion",1
"86","HSF","ACO_mitochondrion",0.780004750746161
"87","CAMTA","ACO_mitochondrion",1
"88","VOZ","ACO_mitochondrion",1
"89","CCAAT-HAP3","ACO_mitochondrion",0.635137692862026
"90","CCAAT-HAP5","ACO_mitochondrion",0.188060973944532
"91","C2C2-CO-like","ACO_mitochondrion",0.21591335070081
"92","C2C2-YABBY","ACO_mitochondrion",1
"93","ABI3VP1","ACO_mitochondrion",0.395600996017229
"94","CCAAT-HAP2","ACO_mitochondrion",0.126139773408244
"95","TUB","ACO_mitochondrion",0.222453222453223
"96","ZIM","ACO_mitochondrion",1
"97","bHLH","CSY_mitochondrion",0.981777789893554
"98","MYB","CSY_mitochondrion",0.0204751310909282
"99","E2F-DP","CSY_mitochondrion",1
"100","AP2-EREBP","CSY_mitochondrion",0.026327291636498
"101","Trihelix","CSY_mitochondrion",0.000186948815025521
"102","ARID","CSY_mitochondrion",0.00987545443234138
"103","C2H2","CSY_mitochondrion",0.716931766332042
"104","GeBP","CSY_mitochondrion",0.00257342693213045
"105","NAC","CSY_mitochondrion",0.105699142408384
"106","C2C2-Gata","CSY_mitochondrion",0.735275410842927
"107","bZIP","CSY_mitochondrion",0.224146201942867
"108","EIL","CSY_mitochondrion",1
"109","LBD","CSY_mitochondrion",0.0118918090033223
"110","MADS","CSY_mitochondrion",0.48061910887119
"111","TCP","CSY_mitochondrion",1
"112","SBP","CSY_mitochondrion",0.783794974346001
"113","G2-like","CSY_mitochondrion",0.655788556790886
"114","C3H","CSY_mitochondrion",0.985679724955892
"115","CPP","CSY_mitochondrion",0.435984387743623
"116","GRF","CSY_mitochondrion",1
"117","REM","CSY_mitochondrion",0.349752601731685
"118","Homeobox","CSY_mitochondrion",0.79402933404256
"119","PHD","CSY_mitochondrion",0.173596673596673
"120","C2C2-Dof","CSY_mitochondrion",0.988223858926494
"121","WRKY","CSY_mitochondrion",0.999390951408055
"122","CCAAT-DR1","CSY_mitochondrion",1
"123","ARF","CSY_mitochondrion",0.594848429352861
"124","RAV","CSY_mitochondrion",0.540349640277645
"125","NLP","CSY_mitochondrion",1
"126","ARR-B","CSY_mitochondrion",0.682514549160108
"127","ZF-HD","CSY_mitochondrion",1
"128","Whirly","CSY_mitochondrion",1
"129","BBR/BPC","CSY_mitochondrion",0.279830471006219
"130","MYB-related","CSY_mitochondrion",0.55165883803814
"131","GRAS","CSY_mitochondrion",1
"132","BZR","CSY_mitochondrion",0.61540053613446
"133","Alfin-like","CSY_mitochondrion",1
"134","HSF","CSY_mitochondrion",1
"135","CAMTA","CSY_mitochondrion",1
"136","VOZ","CSY_mitochondrion",1
"137","CCAAT-HAP3","CSY_mitochondrion",0.534201913548435
"138","CCAAT-HAP5","CSY_mitochondrion",1
"139","C2C2-CO-like","CSY_mitochondrion",1
"140","C2C2-YABBY","CSY_mitochondrion",1
"141","ABI3VP1","CSY_mitochondrion",1
"142","CCAAT-HAP2","CSY_mitochondrion",0.435984387743623
"143","TUB","CSY_mitochondrion",1
"144","ZIM","CSY_mitochondrion",1
"145","bHLH","CSY_peroxisome",0.803649195901925
"146","MYB","CSY_peroxisome",0.998650490274671
"147","E2F-DP","CSY_peroxisome",1
"148","AP2-EREBP","CSY_peroxisome",0.694592767999295
"149","Trihelix","CSY_peroxisome",0.00534577769187181
"150","ARID","CSY_peroxisome",0.051835509849295
"151","C2H2","CSY_peroxisome",0.806789403355531
"152","GeBP","CSY_peroxisome",0.00123616036198575
"153","NAC","CSY_peroxisome",0.228974039690205
"154","C2C2-Gata","CSY_peroxisome",1
"155","bZIP","CSY_peroxisome",0.0102152395538539
"156","EIL","CSY_peroxisome",1
"157","LBD","CSY_peroxisome",0.00648078435214266
"158","MADS","CSY_peroxisome",1
"159","TCP","CSY_peroxisome",5.4029931201597e-05
"160","SBP","CSY_peroxisome",0.361710459849203
