"Var1","Var2","Var3","n","e","TF_fam","comploc_n","b","c","d","tfpercentage","pval","adj.p"
"ACO","cytosol","ABI3VP1",0,"ACO_cytosol",2,65,65,2,895,0,1,1
"CSY","cytosol","ABI3VP1",0,"CSY_cytosol",2,NA,NA,2,NA,NA,NA,NA
"FUM","cytosol","ABI3VP1",0,"FUM_cytosol",2,39,39,2,921,0,1,1
"ICDH","cytosol","ABI3VP1",0,"ICDH_cytosol",2,173,173,2,787,0,1,1
"MDH","cytosol","ABI3VP1",0,"MDH_cytosol",2,215,215,2,745,0,1,1
"OGDH","cytosol","ABI3VP1",0,"OGDH_cytosol",2,NA,NA,2,NA,NA,NA,NA
"PDH","cytosol","ABI3VP1",0,"PDH_cytosol",2,NA,NA,2,NA,NA,NA,NA
"SCL","cytosol","ABI3VP1",0,"SCL_cytosol",2,NA,NA,2,NA,NA,NA,NA
"SDH","cytosol","ABI3VP1",0,"SDH_cytosol",2,NA,NA,2,NA,NA,NA,NA
"ACO","mitochondrion","ABI3VP1",1,"ACO_mitochondrion",2,214,213,1,747,0.467289719626168,0.395600996017229,1
"CSY","mitochondrion","ABI3VP1",0,"CSY_mitochondrion",2,167,167,2,793,0,1,1
"FUM","mitochondrion","ABI3VP1",0,"FUM_mitochondrion",2,46,46,2,914,0,1,1
"ICDH","mitochondrion","ABI3VP1",0,"ICDH_mitochondrion",2,202,202,2,758,0,1,1
"MDH","mitochondrion","ABI3VP1",0,"MDH_mitochondrion",2,149,149,2,811,0,1,1
"OGDH","mitochondrion","ABI3VP1",0,"OGDH_mitochondrion",2,148,148,2,812,0,1,1
"PDH","mitochondrion","ABI3VP1",0,"PDH_mitochondrion",2,471,471,2,489,0,1,1
"SCL","mitochondrion","ABI3VP1",0,"SCL_mitochondrion",2,17,17,2,943,0,1,1
"SDH","mitochondrion","ABI3VP1",0,"SDH_mitochondrion",2,375,375,2,585,0,1,1
"ACO","peroxisome","ABI3VP1",0,"ACO_peroxisome",2,NA,NA,2,NA,NA,NA,NA
"CSY","peroxisome","ABI3VP1",1,"CSY_peroxisome",2,150,149,1,811,0.666666666666667,0.287674611295839,1
"FUM","peroxisome","ABI3VP1",0,"FUM_peroxisome",2,NA,NA,2,NA,NA,NA,NA
"ICDH","peroxisome","ABI3VP1",0,"ICDH_peroxisome",2,70,70,2,890,0,1,1
"MDH","peroxisome","ABI3VP1",0,"MDH_peroxisome",2,143,143,2,817,0,1,1
"OGDH","peroxisome","ABI3VP1",0,"OGDH_peroxisome",2,NA,NA,2,NA,NA,NA,NA
"PDH","peroxisome","ABI3VP1",0,"PDH_peroxisome",2,NA,NA,2,NA,NA,NA,NA
"SCL","peroxisome","ABI3VP1",0,"SCL_peroxisome",2,NA,NA,2,NA,NA,NA,NA
"SDH","peroxisome","ABI3VP1",0,"SDH_peroxisome",2,NA,NA,2,NA,NA,NA,NA
"ACO","plastid","ABI3VP1",0,"ACO_plastid",2,NA,NA,2,NA,NA,NA,NA
"CSY","plastid","ABI3VP1",0,"CSY_plastid",2,NA,NA,2,NA,NA,NA,NA
